Y,LNTT,DTL,Size,ATR,ROA,G_ASSET,Price,TL,DLTT,EBITDA,Inven,Cash,che
0.00,52884.00,10.71,9.76,0.68,0.01,3035775.00,14.40,3493776.00,10990.00,0.32,1439646.00,25322.00,0.00
0.00,160020.00,8.94,11.80,0.17,0.02,3424608.00,27.82,4803246.00,368844.00,1.00,3417446.00,337040.00,442498.00
0.00,82950.00,3.25,11.28,0.45,0.04,1019701.00,24.92,1160662.00,0.00,1.00,271598.00,31218.00,0.00
1.00,-13432.00,-16.75,10.42,0.00,-0.04,159252.00,0.00,365490.00,230380.00,0.00,93128.00,128.00,0.00
0.00,17058.00,0.43,12.45,0.10,0.01,721926.00,30.00,285596.00,51444.00,0.00,8454.00,67192.00,26604.00
0.00,51668.00,8.66,13.73,0.76,0.01,1320222.00,19.56,2632328.00,646462.00,1.18,1455706.00,33784.00,0.00
0.00,3138.00,9.66,10.54,0.55,0.00,362962.00,7.20,585124.00,6914.00,-0.64,364484.00,21198.00,19800.00
0.00,173784.00,1.99,10.27,0.78,0.06,1323334.00,18.28,1125916.00,189602.00,2.30,522362.00,37874.00,0.00
0.00,68692.00,4.61,9.87,0.39,0.03,804317.00,37.60,1154372.00,173574.00,1.14,410246.00,97870.00,718928.00
0.00,1936.00,0.32,6.14,0.42,0.07,11057.00,0.00,2926.00,0.00,0.00,2036.00,440.00,0.00
0.00,-349794.00,6.83,12.06,0.04,-0.25,476872.00,3.90,1062948.00,186686.00,0.58,223278.00,4756.00,0.00
0.00,1244048.00,5.59,16.20,0.18,0.02,29844940.00,42.80,43522844.00,26936634.00,1.06,9371096.00,877496.00,1340220.00
0.00,-22570.00,1.69,9.41,0.74,-0.04,124765.00,6.00,344268.00,31996.00,0.82,174676.00,39024.00,110406.00
0.00,166418.00,4.02,11.48,0.15,0.06,1368629.00,50.76,1564856.00,492078.00,1.10,819004.00,515868.00,41000.00
0.00,2676.00,6.13,9.92,0.92,0.00,120565.00,13.40,233892.00,1644.00,0.00,96790.00,23818.00,0.00
0.00,855912.00,1.37,14.00,1.03,0.02,12115993.00,153.10,11517488.00,11150.00,2.16,2984076.00,2793530.00,3961920.00
0.00,236302.00,4.72,15.42,0.20,0.02,4535820.00,31.00,6364134.00,5016266.00,0.78,397634.00,368554.00,0.00
0.00,-25852.00,2.43,13.83,0.07,-0.01,2011902.00,18.40,2404040.00,178178.00,0.60,567490.00,112732.00,114062.00
0.00,538.00,4.75,7.45,0.53,0.00,107837.00,13.72,130784.00,2778.00,-0.14,17450.00,20822.00,0.00
0.00,79428.00,8.11,9.11,0.29,0.05,662882.00,47.00,1047292.00,190032.00,0.98,575236.00,165218.00,75000.00
0.00,674674.00,2.13,9.69,0.18,0.13,1908582.00,116.50,2068438.00,1237746.00,2.24,322472.00,73450.00,1853800.00
0.00,26432.00,10.07,10.75,1.32,0.05,269707.00,16.96,358238.00,21628.00,-0.40,164164.00,2320.00,52000.00
0.00,75532.00,1.37,11.20,0.75,0.05,585459.00,19.62,505686.00,15844.00,0.38,467626.00,91214.00,0.00
0.00,1799690.00,2.94,14.24,0.21,0.06,15455097.00,43.00,14072068.00,2098746.00,1.36,8790264.00,805876.00,274000.00
0.00,1974.00,6.53,9.38,0.45,0.00,420038.00,23.90,588664.00,187030.00,0.00,274228.00,50776.00,0.00
1.00,-14312.00,-14.03,10.56,0.44,-0.10,59361.00,20.80,160104.00,17044.00,0.00,36334.00,5670.00,0.00
0.00,92114.00,3.88,7.53,0.03,0.02,2660374.00,21.30,3299610.00,234568.00,3.04,1687142.00,106196.00,874.00
0.00,-7626.00,3.82,10.35,0.08,-0.01,606151.00,9.34,702100.00,439344.00,1.24,2686.00,95892.00,4000.00
0.00,53780.00,3.13,13.47,0.12,-0.01,26742349.00,27.74,28454784.00,7817744.00,2.44,20503362.00,3559262.00,411368.00
0.00,-48902.00,1.37,13.52,0.19,-0.03,1017887.00,26.80,799806.00,41974.00,1.60,33652.00,15768.00,0.00
0.00,842540.00,3.64,15.56,0.36,0.01,43660960.00,9.10,48823860.00,12805338.00,1.74,5366016.00,2430038.00,176258.00
1.00,-6132.00,-2.15,7.78,0.18,-0.15,13483.00,3.20,610922.00,1452.00,2.18,200.00,358.00,0.00
0.00,5734.00,0.44,12.47,0.13,0.00,1384321.00,11.54,451530.00,340326.00,1.82,0.00,67064.00,0.00
0.00,6860.00,0.84,8.93,0.76,0.01,180116.00,15.82,118664.00,544.00,-0.44,15408.00,37754.00,21308.00
0.00,228724.00,5.50,14.66,0.72,0.01,14383203.00,30.58,22808450.00,1313158.00,2.06,4996504.00,488086.00,28798.00
0.00,577328.00,3.84,14.35,0.25,0.07,4201243.00,59.12,4380290.00,925416.00,1.98,3213812.00,59856.00,19088.00
0.00,3080920.00,4.98,15.94,0.36,0.09,13890975.00,76.48,19802454.00,11737846.00,3.08,3513158.00,875844.00,139920.00
0.00,172542.00,0.81,11.41,0.30,0.12,495669.00,47.34,351956.00,42638.00,0.78,307210.00,261212.00,167348.00
0.00,21482.00,1.21,9.17,0.08,0.00,7226932.00,3.86,5267432.00,95226.00,0.28,1035646.00,58286.00,0.00
0.00,149148.00,5.31,14.87,0.23,0.04,1561617.00,26.12,2409656.00,2299094.00,0.82,510.00,141328.00,0.00
0.00,16818.00,10.17,7.61,0.43,0.01,816616.00,16.18,1560518.00,0.00,0.38,174316.00,56014.00,10660.00
0.00,3506.00,1.48,11.18,0.45,0.01,138617.00,16.20,223326.00,0.00,0.54,234510.00,7608.00,0.00
0.00,45916.00,5.56,9.72,0.39,0.02,1020098.00,17.38,1178046.00,325820.00,0.92,1236598.00,81684.00,0.00
0.00,-494046.00,4.86,16.34,0.07,-0.02,9298942.00,8.40,14395290.00,12005564.00,3.20,248856.00,438646.00,93840.00
0.00,30740.00,0.41,10.94,0.11,0.04,316793.00,13.40,115418.00,0.00,-0.04,104994.00,117560.00,21200.00
0.00,123236.00,20.69,13.58,0.14,0.04,1379821.00,101.82,2381938.00,2139652.00,-0.38,94318.00,24360.00,1401352.00
0.00,198972.00,10.18,11.07,0.17,0.03,3520975.00,28.72,4104494.00,996494.00,0.20,2664364.00,163416.00,76600.00
0.00,467176.00,3.95,12.03,0.17,0.17,1600580.00,111.80,1674200.00,1402346.00,0.42,142848.00,12462.00,922230.00
0.00,903174.00,4.42,13.91,0.32,0.06,5736197.00,46.06,9143044.00,2774444.00,2.48,7307628.00,579950.00,16610.00
0.00,488170.00,0.51,12.28,0.05,0.01,13693627.00,14.00,5449340.00,1286792.00,1.30,8121354.00,163672.00,0.00
0.00,359494.00,2.54,14.63,0.21,0.03,4698024.00,30.70,4937626.00,939604.00,0.92,3675668.00,85478.00,0.00
0.00,-9778.00,1.38,10.15,0.00,-0.01,559906.00,29.40,440018.00,203098.00,0.00,0.00,13850.00,0.00
0.00,2916816.00,1.42,11.46,0.33,0.08,14631619.00,53.28,11552744.00,3136878.00,1.36,14675986.00,3671496.00,0.00
0.00,107798.00,0.14,9.95,0.17,0.15,217154.00,47.20,39938.00,21762.00,0.00,0.00,6864.00,405000.00
0.00,2504.00,4.25,4.09,0.87,0.01,180700.00,7.40,147882.00,0.00,-0.10,9114.00,4264.00,0.00
0.00,44426.00,6.35,12.28,1.15,0.02,893587.00,34.60,1584434.00,422348.00,0.12,390316.00,460550.00,0.00
